block_id,recording_id,electrode,word,session_token,block_file,channel_count,channel_ids,length_samples,sample_rate,status
block_000035,agagcl:pain:pain_s6,agagcl,pain,pain_s6,processed/agagcl/operational/blocks/block_000035.npy,7,"1,2,3,5,6,7,8",376800,2000,processed
block_000036,agagcl:pain:pain_s7,agagcl,pain,pain_s7,processed/agagcl/operational/blocks/block_000036.npy,7,"1,2,3,5,6,7,8",375800,2000,processed
block_000037,agagcl:pain:pain_s8,agagcl,pain,pain_s8,processed/agagcl/operational/blocks/block_000037.npy,7,"1,2,3,5,6,7,8",386600,2000,processed
block_000038,agagcl:pain:pain_s9,agagcl,pain,pain_s9,processed/agagcl/operational/blocks/block_000038.npy,7,"1,2,3,5,6,7,8",378400,2000,processed
block_000039,agagcl:wait:s1,agagcl,wait,s1,processed/agagcl/operational/blocks/block_000039.npy,7,"1,2,3,5,6,7,8",377800,2000,processed
block_000040,agagcl:wait:s10,agagcl,wait,s10,processed/agagcl/operational/blocks/block_000040.npy,7,"1,2,3,5,6,7,8",384600,2000,processed
block_000041,agagcl:wait:s2,agagcl,wait,s2,processed/agagcl/operational/blocks/block_000041.npy,7,"1,2,3,5,6,7,8",417400,2000,processed
block_000042,agagcl:wait:s3,agagcl,wait,s3,processed/agagcl/operational/blocks/block_000042.npy,7,"1,2,3,5,6,7,8",384400,2000,processed
block_000043,agagcl:wait:s4,agagcl,wait,s4,processed/agagcl/operational/blocks/block_000043.npy,7,"1,2,3,5,6,7,8",397000,2000,processed
block_000044,agagcl:wait:s5,agagcl,wait,s5,processed/agagcl/operational/blocks/block_000044.npy,7,"1,2,3,5,6,7,8",394600,2000,processed
block_000045,agagcl:wait:s6,agagcl,wait,s6,processed/agagcl/operational/blocks/block_000045.npy,7,"1,2,3,5,6,7,8",395200,2000,processed
block_000046,agagcl:wait:s7,agagcl,wait,s7,processed/agagcl/operational/blocks/block_000046.npy,7,"1,2,3,5,6,7,8",398600,2000,processed
block_000047,agagcl:wait:s8,agagcl,wait,s8,processed/agagcl/operational/blocks/block_000047.npy,7,"1,2,3,5,6,7,8",390200,2000,processed
block_000048,agagcl:wait:s9,agagcl,wait,s9,processed/agagcl/operational/blocks/block_000048.npy,7,"1,2,3,5,6,7,8",379000,2000,processed
block_000049,agagcl:yes:yes_s2,agagcl,yes,yes_s2,processed/agagcl/operational/blocks/block_000049.npy,7,"1,2,3,5,6,7,8",377800,2000,processed
block_000050,agagcl:yes:yes_s3,agagcl,yes,yes_s3,processed/agagcl/operational/blocks/block_000050.npy,7,"1,2,3,5,6,7,8",396600,2000,processed
block_000051,agagcl:yes:yes_s4,agagcl,yes,yes_s4,processed/agagcl/operational/blocks/block_000051.npy,7,"1,2,3,5,6,7,8",376000,2000,processed
block_000052,agagcl:yes:yes_s5,agagcl,yes,yes_s5,processed/agagcl/operational/blocks/block_000052.npy,7,"1,2,3,5,6,7,8",376200,2000,processed
block_000053,agagcl:yes:yes_s6,agagcl,yes,yes_s6,processed/agagcl/operational/blocks/block_000053.npy,7,"1,2,3,5,6,7,8",376000,2000,processed
block_000054,agagcl:yes:yes_s7,agagcl,yes,yes_s7,processed/agagcl/operational/blocks/block_000054.npy,7,"1,2,3,5,6,7,8",388000,2000,processed
block_000055,agagcl:yes:yes_s8,agagcl,yes,yes_s8,processed/agagcl/operational/blocks/block_000055.npy,7,"1,2,3,5,6,7,8",377800,2000,processed
