trial_id,block_id,word,session_token,trial_file,start_sample,end_sample,length_samples
trial_000025,block_000001,bye,s1,processed/trials/trial_000025.npy,170240,172760,2520
trial_000026,block_000001,bye,s1,processed/trials/trial_000026.npy,175640,178840,3200
trial_000027,block_000001,bye,s1,processed/trials/trial_000027.npy,182160,184680,2520
trial_000028,block_000001,bye,s1,processed/trials/trial_000028.npy,188160,197000,8840
trial_000029,block_000001,bye,s1,processed/trials/trial_000029.npy,199880,202400,2520
trial_000030,block_000001,bye,s1,processed/trials/trial_000030.npy,206120,221200,15080
trial_000031,block_000001,bye,s1,processed/trials/trial_000031.npy,224160,226720,2560
trial_000032,block_000001,bye,s1,processed/trials/trial_000032.npy,229040,233200,4160
trial_000033,block_000001,bye,s1,processed/trials/trial_000033.npy,236600,239240,2640
trial_000034,block_000001,bye,s1,processed/trials/trial_000034.npy,241960,244520,2560
trial_000035,block_000001,bye,s1,processed/trials/trial_000035.npy,247680,250640,2960
trial_000036,block_000001,bye,s1,processed/trials/trial_000036.npy,254240,255800,1560
trial_000037,block_000001,bye,s1,processed/trials/trial_000037.npy,260400,262560,2160
trial_000038,block_000001,bye,s1,processed/trials/trial_000038.npy,265920,269560,3640
trial_000039,block_000001,bye,s1,processed/trials/trial_000039.npy,272320,274640,2320
trial_000040,block_000001,bye,s1,processed/trials/trial_000040.npy,278160,281360,3200
trial_000041,block_000001,bye,s1,processed/trials/trial_000041.npy,284480,287160,2680
trial_000042,block_000001,bye,s1,processed/trials/trial_000042.npy,290400,292840,2440
trial_000043,block_000001,bye,s1,processed/trials/trial_000043.npy,296320,299160,2840
trial_000044,block_000002,bye,s10,processed/trials/trial_000044.npy,18240,21400,3160
trial_000045,block_000002,bye,s10,processed/trials/trial_000045.npy,24720,27160,2440
trial_000046,block_000002,bye,s10,processed/trials/trial_000046.npy,29520,33040,3520
trial_000047,block_000002,bye,s10,processed/trials/trial_000047.npy,35760,38800,3040
trial_000048,block_000002,bye,s10,processed/trials/trial_000048.npy,43040,45280,2240
trial_000049,block_000002,bye,s10,processed/trials/trial_000049.npy,48520,51000,2480
trial_000050,block_000002,bye,s10,processed/trials/trial_000050.npy,53880,56720,2840
trial_000051,block_000002,bye,s10,processed/trials/trial_000051.npy,60400,62760,2360
trial_000052,block_000002,bye,s10,processed/trials/trial_000052.npy,66320,69480,3160
trial_000053,block_000002,bye,s10,processed/trials/trial_000053.npy,72520,75520,3000
trial_000054,block_000002,bye,s10,processed/trials/trial_000054.npy,78600,81120,2520
trial_000055,block_000002,bye,s10,processed/trials/trial_000055.npy,84400,85680,1280
trial_000056,block_000002,bye,s10,processed/trials/trial_000056.npy,89680,92680,3000
trial_000057,block_000002,bye,s10,processed/trials/trial_000057.npy,96360,98840,2480
trial_000058,block_000002,bye,s10,processed/trials/trial_000058.npy,102400,104800,2400
trial_000059,block_000002,bye,s10,processed/trials/trial_000059.npy,108280,110760,2480
trial_000060,block_000002,bye,s10,processed/trials/trial_000060.npy,113320,115480,2160
trial_000061,block_000002,bye,s10,processed/trials/trial_000061.npy,118720,122200,3480
trial_000062,block_000002,bye,s10,processed/trials/trial_000062.npy,126640,128840,2200
trial_000063,block_000002,bye,s10,processed/trials/trial_000063.npy,132760,133920,1160
trial_000064,block_000002,bye,s10,processed/trials/trial_000064.npy,138440,141080,2640
trial_000065,block_000002,bye,s10,processed/trials/trial_000065.npy,144520,153120,8600
trial_000066,block_000002,bye,s10,processed/trials/trial_000066.npy,156520,159480,2960
trial_000067,block_000002,bye,s10,processed/trials/trial_000067.npy,161720,163920,2200
trial_000068,block_000002,bye,s10,processed/trials/trial_000068.npy,166880,171880,5000
trial_000069,block_000002,bye,s10,processed/trials/trial_000069.npy,174400,176520,2120
trial_000070,block_000002,bye,s10,processed/trials/trial_000070.npy,181040,188760,7720
trial_000071,block_000002,bye,s10,processed/trials/trial_000071.npy,192360,193760,1400
trial_000072,block_000002,bye,s10,processed/trials/trial_000072.npy,198480,200880,2400
trial_000073,block_000002,bye,s10,processed/trials/trial_000073.npy,204440,205760,1320
trial_000074,block_000002,bye,s10,processed/trials/trial_000074.npy,210520,211760,1240
trial_000075,block_000002,bye,s10,processed/trials/trial_000075.npy,216480,218720,2240
trial_000076,block_000002,bye,s10,processed/trials/trial_000076.npy,221600,225000,3400
trial_000077,block_000002,bye,s10,processed/trials/trial_000077.npy,228000,231200,3200
trial_000078,block_000002,bye,s10,processed/trials/trial_000078.npy,234520,237160,2640
trial_000079,block_000002,bye,s10,processed/trials/trial_000079.npy,240560,244160,3600
trial_000080,block_000002,bye,s10,processed/trials/trial_000080.npy,246800,262200,15400
trial_000081,block_000002,bye,s10,processed/trials/trial_000081.npy,264280,267640,3360
trial_000082,block_000002,bye,s10,processed/trials/trial_000082.npy,270200,272360,2160
trial_000083,block_000002,bye,s10,processed/trials/trial_000083.npy,275920,283760,7840
trial_000084,block_000002,bye,s10,processed/trials/trial_000084.npy,288720,289880,1160
trial_000085,block_000002,bye,s10,processed/trials/trial_000085.npy,294560,297000,2440
trial_000086,block_000002,bye,s10,processed/trials/trial_000086.npy,299880,303560,3680
trial_000087,block_000003,bye,s2,processed/trials/trial_000087.npy,18920,21560,2640
trial_000088,block_000003,bye,s2,processed/trials/trial_000088.npy,24360,25960,1600
trial_000089,block_000003,bye,s2,processed/trials/trial_000089.npy,30360,33400,3040
trial_000090,block_000003,bye,s2,processed/trials/trial_000090.npy,36440,39960,3520
trial_000091,block_000003,bye,s2,processed/trials/trial_000091.npy,42440,45040,2600
trial_000092,block_000003,bye,s2,processed/trials/trial_000092.npy,48440,50920,2480
trial_000093,block_000003,bye,s2,processed/trials/trial_000093.npy,54400,56960,2560
trial_000094,block_000003,bye,s2,processed/trials/trial_000094.npy,60440,63200,2760
trial_000095,block_000003,bye,s2,processed/trials/trial_000095.npy,66560,69160,2600
trial_000096,block_000003,bye,s2,processed/trials/trial_000096.npy,72520,75040,2520
trial_000097,block_000003,bye,s2,processed/trials/trial_000097.npy,78640,86880,8240
trial_000098,block_000003,bye,s2,processed/trials/trial_000098.npy,90640,91960,1320
trial_000099,block_000003,bye,s2,processed/trials/trial_000099.npy,96520,99440,2920
trial_000100,block_000003,bye,s2,processed/trials/trial_000100.npy,102680,105400,2720
trial_000101,block_000003,bye,s2,processed/trials/trial_000101.npy,108400,111200,2800
trial_000102,block_000003,bye,s2,processed/trials/trial_000102.npy,114680,117320,2640
trial_000103,block_000003,bye,s2,processed/trials/trial_000103.npy,121040,123440,2400
trial_000104,block_000003,bye,s2,processed/trials/trial_000104.npy,126440,135320,8880
trial_000105,block_000003,bye,s2,processed/trials/trial_000105.npy,138800,140280,1480
trial_000106,block_000003,bye,s2,processed/trials/trial_000106.npy,145000,147600,2600
trial_000107,block_000003,bye,s2,processed/trials/trial_000107.npy,150520,153640,3120
trial_000108,block_000003,bye,s2,processed/trials/trial_000108.npy,156760,158960,2200
trial_000109,block_000003,bye,s2,processed/trials/trial_000109.npy,162960,165440,2480
trial_000110,block_000003,bye,s2,processed/trials/trial_000110.npy,169120,170600,1480
trial_000111,block_000003,bye,s2,processed/trials/trial_000111.npy,174680,176200,1520
trial_000112,block_000003,bye,s2,processed/trials/trial_000112.npy,181040,183440,2400
trial_000113,block_000003,bye,s2,processed/trials/trial_000113.npy,186880,190480,3600
trial_000114,block_000003,bye,s2,processed/trials/trial_000114.npy,192960,196680,3720
trial_000115,block_000003,bye,s2,processed/trials/trial_000115.npy,198920,201400,2480
trial_000116,block_000003,bye,s2,processed/trials/trial_000116.npy,204520,207800,3280
trial_000117,block_000003,bye,s2,processed/trials/trial_000117.npy,210920,213440,2520
trial_000118,block_000003,bye,s2,processed/trials/trial_000118.npy,216560,219400,2840
trial_000119,block_000003,bye,s2,processed/trials/trial_000119.npy,222320,225240,2920
trial_000120,block_000003,bye,s2,processed/trials/trial_000120.npy,228600,231160,2560
trial_000121,block_000003,bye,s2,processed/trials/trial_000121.npy,234800,237360,2560
trial_000122,block_000003,bye,s2,processed/trials/trial_000122.npy,240400,242400,2000
trial_000123,block_000003,bye,s2,processed/trials/trial_000123.npy,246760,249440,2680
trial_000124,block_000003,bye,s2,processed/trials/trial_000124.npy,252720,255400,2680
trial_000125,block_000003,bye,s2,processed/trials/trial_000125.npy,258840,260960,2120
trial_000126,block_000003,bye,s2,processed/trials/trial_000126.npy,262880,267400,4520
trial_000127,block_000003,bye,s2,processed/trials/trial_000127.npy,270840,273640,2800
trial_000128,block_000003,bye,s2,processed/trials/trial_000128.npy,276840,279360,2520
trial_000129,block_000003,bye,s2,processed/trials/trial_000129.npy,282840,285280,2440
trial_000130,block_000003,bye,s2,processed/trials/trial_000130.npy,287960,291480,3520
trial_000131,block_000003,bye,s2,processed/trials/trial_000131.npy,294440,297360,2920
trial_000132,block_000006,bye,s5,processed/trials/trial_000132.npy,17280,21400,4120
trial_000133,block_000006,bye,s5,processed/trials/trial_000133.npy,24520,28000,3480
trial_000134,block_000006,bye,s5,processed/trials/trial_000134.npy,30480,33240,2760
trial_000135,block_000006,bye,s5,processed/trials/trial_000135.npy,36600,38040,1440
trial_000136,block_000006,bye,s5,processed/trials/trial_000136.npy,42000,45800,3800
trial_000137,block_000006,bye,s5,processed/trials/trial_000137.npy,48560,57400,8840
trial_000138,block_000006,bye,s5,processed/trials/trial_000138.npy,60440,63280,2840
trial_000139,block_000006,bye,s5,processed/trials/trial_000139.npy,66320,69120,2800
trial_000140,block_000006,bye,s5,processed/trials/trial_000140.npy,72640,74800,2160
trial_000141,block_000006,bye,s5,processed/trials/trial_000141.npy,78800,80920,2120
trial_000142,block_000006,bye,s5,processed/trials/trial_000142.npy,84520,87080,2560
trial_000143,block_000006,bye,s5,processed/trials/trial_000143.npy,90640,93280,2640
trial_000144,block_000006,bye,s5,processed/trials/trial_000144.npy,96640,99440,2800
trial_000145,block_000006,bye,s5,processed/trials/trial_000145.npy,102280,104960,2680
trial_000146,block_000006,bye,s5,processed/trials/trial_000146.npy,108360,111440,3080
trial_000147,block_000006,bye,s5,processed/trials/trial_000147.npy,114360,123640,9280
trial_000148,block_000006,bye,s5,processed/trials/trial_000148.npy,126160,129240,3080
trial_000149,block_000006,bye,s5,processed/trials/trial_000149.npy,132400,135040,2640
trial_000150,block_000006,bye,s5,processed/trials/trial_000150.npy,137920,141040,3120
trial_000151,block_000006,bye,s5,processed/trials/trial_000151.npy,144360,147040,2680
trial_000152,block_000006,bye,s5,processed/trials/trial_000152.npy,150360,153480,3120
trial_000153,block_000006,bye,s5,processed/trials/trial_000153.npy,156600,160280,3680
trial_000154,block_000006,bye,s5,processed/trials/trial_000154.npy,162640,164920,2280
trial_000155,block_000006,bye,s5,processed/trials/trial_000155.npy,168400,171080,2680
trial_000156,block_000006,bye,s5,processed/trials/trial_000156.npy,174440,177160,2720
trial_000157,block_000006,bye,s5,processed/trials/trial_000157.npy,180200,183240,3040
trial_000158,block_000006,bye,s5,processed/trials/trial_000158.npy,186320,189920,3600
trial_000159,block_000006,bye,s5,processed/trials/trial_000159.npy,192760,196400,3640
trial_000160,block_000006,bye,s5,processed/trials/trial_000160.npy,199200,201440,2240
trial_000161,block_000006,bye,s5,processed/trials/trial_000161.npy,204400,206960,2560
trial_000162,block_000006,bye,s5,processed/trials/trial_000162.npy,210520,213640,3120
trial_000163,block_000006,bye,s5,processed/trials/trial_000163.npy,216160,219080,2920
trial_000164,block_000006,bye,s5,processed/trials/trial_000164.npy,222400,225360,2960
trial_000165,block_000006,bye,s5,processed/trials/trial_000165.npy,227400,231600,4200
trial_000166,block_000006,bye,s5,processed/trials/trial_000166.npy,234320,237680,3360
trial_000167,block_000006,bye,s5,processed/trials/trial_000167.npy,240520,243600,3080
trial_000168,block_000006,bye,s5,processed/trials/trial_000168.npy,246440,249320,2880
trial_000169,block_000006,bye,s5,processed/trials/trial_000169.npy,252440,255360,2920
trial_000170,block_000006,bye,s5,processed/trials/trial_000170.npy,258400,261520,3120
trial_000171,block_000006,bye,s5,processed/trials/trial_000171.npy,264360,267600,3240
trial_000172,block_000006,bye,s5,processed/trials/trial_000172.npy,270200,280040,9840
trial_000173,block_000006,bye,s5,processed/trials/trial_000173.npy,282480,285000,2520
trial_000174,block_000006,bye,s5,processed/trials/trial_000174.npy,287160,291360,4200
trial_000175,block_000006,bye,s5,processed/trials/trial_000175.npy,294440,296160,1720
trial_000176,block_000007,bye,s6,processed/trials/trial_000176.npy,16960,19680,2720
trial_000177,block_000007,bye,s6,processed/trials/trial_000177.npy,23240,26400,3160
trial_000178,block_000007,bye,s6,processed/trials/trial_000178.npy,29000,31640,2640
trial_000179,block_000007,bye,s6,processed/trials/trial_000179.npy,35320,37440,2120
trial_000180,block_000007,bye,s6,processed/trials/trial_000180.npy,41080,44200,3120
trial_000181,block_000007,bye,s6,processed/trials/trial_000181.npy,47120,49400,2280
trial_000182,block_000007,bye,s6,processed/trials/trial_000182.npy,52880,55840,2960
trial_000183,block_000007,bye,s6,processed/trials/trial_000183.npy,58960,60800,1840
trial_000184,block_000007,bye,s6,processed/trials/trial_000184.npy,65000,66280,1280
trial_000185,block_000007,bye,s6,processed/trials/trial_000185.npy,70600,74840,4240
trial_000186,block_000007,bye,s6,processed/trials/trial_000186.npy,77200,78600,1400
trial_000187,block_000007,bye,s6,processed/trials/trial_000187.npy,83040,85600,2560
trial_000188,block_000007,bye,s6,processed/trials/trial_000188.npy,88920,91600,2680
trial_000189,block_000007,bye,s6,processed/trials/trial_000189.npy,94840,96240,1400
trial_000190,block_000007,bye,s6,processed/trials/trial_000190.npy,100880,109800,8920
trial_000191,block_000007,bye,s6,processed/trials/trial_000191.npy,112920,115360,2440
trial_000192,block_000007,bye,s6,processed/trials/trial_000192.npy,119000,121640,2640
trial_000193,block_000007,bye,s6,processed/trials/trial_000193.npy,125000,128200,3200
trial_000194,block_000007,bye,s6,processed/trials/trial_000194.npy,130920,134080,3160
trial_000195,block_000007,bye,s6,processed/trials/trial_000195.npy,136240,139560,3320
trial_000196,block_000007,bye,s6,processed/trials/trial_000196.npy,142880,145480,2600
trial_000197,block_000007,bye,s6,processed/trials/trial_000197.npy,148880,151400,2520
trial_000198,block_000007,bye,s6,processed/trials/trial_000198.npy,155040,157600,2560
trial_000199,block_000007,bye,s6,processed/trials/trial_000199.npy,160840,164200,3360
trial_000200,block_000007,bye,s6,processed/trials/trial_000200.npy,166640,169240,2600
trial_000201,block_000007,bye,s6,processed/trials/trial_000201.npy,172920,174960,2040
trial_000202,block_000007,bye,s6,processed/trials/trial_000202.npy,178960,181680,2720
trial_000203,block_000007,bye,s6,processed/trials/trial_000203.npy,185160,188080,2920
trial_000204,block_000007,bye,s6,processed/trials/trial_000204.npy,190040,193240,3200
trial_000205,block_000007,bye,s6,processed/trials/trial_000205.npy,196240,198400,2160
trial_000206,block_000007,bye,s6,processed/trials/trial_000206.npy,202880,205160,2280
trial_000207,block_000007,bye,s6,processed/trials/trial_000207.npy,207440,211400,3960
trial_000208,block_000007,bye,s6,processed/trials/trial_000208.npy,214240,217440,3200
trial_000209,block_000007,bye,s6,processed/trials/trial_000209.npy,220920,224400,3480
trial_000210,block_000007,bye,s6,processed/trials/trial_000210.npy,226720,231800,5080
trial_000211,block_000007,bye,s6,processed/trials/trial_000211.npy,234320,236520,2200
trial_000212,block_000007,bye,s6,processed/trials/trial_000212.npy,241880,247200,5320
trial_000213,block_000007,bye,s6,processed/trials/trial_000213.npy,250720,260360,9640
trial_000214,block_000007,bye,s6,processed/trials/trial_000214.npy,262800,266240,3440
trial_000215,block_000007,bye,s6,processed/trials/trial_000215.npy,268840,271440,2600
trial_000216,block_000007,bye,s6,processed/trials/trial_000216.npy,274840,278160,3320
trial_000217,block_000007,bye,s6,processed/trials/trial_000217.npy,280920,283640,2720
trial_000218,block_000007,bye,s6,processed/trials/trial_000218.npy,286840,289760,2920
trial_000219,block_000007,bye,s6,processed/trials/trial_000219.npy,292840,295320,2480
trial_000220,block_000007,bye,s6,processed/trials/trial_000220.npy,299080,301880,2800
trial_000221,block_000007,bye,s6,processed/trials/trial_000221.npy,305160,307160,2000
trial_000222,block_000008,bye,s7,processed/trials/trial_000222.npy,18160,21320,3160
trial_000223,block_000008,bye,s7,processed/trials/trial_000223.npy,24400,27320,2920
trial_000224,block_000008,bye,s7,processed/trials/trial_000224.npy,30520,33320,2800
trial_000225,block_000008,bye,s7,processed/trials/trial_000225.npy,36840,39800,2960
trial_000226,block_000008,bye,s7,processed/trials/trial_000226.npy,42400,45560,3160
trial_000227,block_000008,bye,s7,processed/trials/trial_000227.npy,48680,57840,9160
trial_000228,block_000008,bye,s7,processed/trials/trial_000228.npy,60400,63320,2920
trial_000229,block_000008,bye,s7,processed/trials/trial_000229.npy,67000,69400,2400
trial_000230,block_000008,bye,s7,processed/trials/trial_000230.npy,72400,82080,9680
trial_000231,block_000008,bye,s7,processed/trials/trial_000231.npy,84360,88280,3920
trial_000232,block_000008,bye,s7,processed/trials/trial_000232.npy,90320,94080,3760
trial_000233,block_000008,bye,s7,processed/trials/trial_000233.npy,96440,99320,2880
trial_000234,block_000008,bye,s7,processed/trials/trial_000234.npy,102800,106480,3680
trial_000235,block_000008,bye,s7,processed/trials/trial_000235.npy,108480,111240,2760
trial_000236,block_000008,bye,s7,processed/trials/trial_000236.npy,114560,117920,3360
trial_000237,block_000008,bye,s7,processed/trials/trial_000237.npy,120200,123440,3240
trial_000238,block_000008,bye,s7,processed/trials/trial_000238.npy,126440,129480,3040
trial_000239,block_000008,bye,s7,processed/trials/trial_000239.npy,132520,135600,3080
trial_000240,block_000008,bye,s7,processed/trials/trial_000240.npy,138680,140760,2080
trial_000241,block_000008,bye,s7,processed/trials/trial_000241.npy,144480,147800,3320
trial_000242,block_000008,bye,s7,processed/trials/trial_000242.npy,150360,153560,3200
trial_000243,block_000008,bye,s7,processed/trials/trial_000243.npy,156400,164920,8520
trial_000244,block_000008,bye,s7,processed/trials/trial_000244.npy,168600,170720,2120
trial_000245,block_000008,bye,s7,processed/trials/trial_000245.npy,174040,177000,2960
trial_000246,block_000008,bye,s7,processed/trials/trial_000246.npy,180600,183120,2520
trial_000247,block_000008,bye,s7,processed/trials/trial_000247.npy,187800,190520,2720
trial_000248,block_000008,bye,s7,processed/trials/trial_000248.npy,192480,195320,2840
trial_000249,block_000008,bye,s7,processed/trials/trial_000249.npy,198440,201360,2920
trial_000250,block_000008,bye,s7,processed/trials/trial_000250.npy,204640,207560,2920
trial_000251,block_000008,bye,s7,processed/trials/trial_000251.npy,209560,213160,3600
trial_000252,block_000008,bye,s7,processed/trials/trial_000252.npy,216560,219280,2720
trial_000253,block_000008,bye,s7,processed/trials/trial_000253.npy,222400,224920,2520
trial_000254,block_000008,bye,s7,processed/trials/trial_000254.npy,228600,230520,1920
trial_000255,block_000008,bye,s7,processed/trials/trial_000255.npy,234120,237320,3200
trial_000256,block_000008,bye,s7,processed/trials/trial_000256.npy,240360,243640,3280
trial_000257,block_000008,bye,s7,processed/trials/trial_000257.npy,246680,249320,2640
trial_000258,block_000008,bye,s7,processed/trials/trial_000258.npy,252400,261840,9440
trial_000259,block_000008,bye,s7,processed/trials/trial_000259.npy,264600,267200,2600
trial_000260,block_000008,bye,s7,processed/trials/trial_000260.npy,270640,279080,8440
trial_000261,block_000008,bye,s7,processed/trials/trial_000261.npy,282720,285120,2400
trial_000262,block_000008,bye,s7,processed/trials/trial_000262.npy,288360,292160,3800
trial_000263,block_000009,bye,s8,processed/trials/trial_000263.npy,18720,21360,2640
trial_000264,block_000009,bye,s8,processed/trials/trial_000264.npy,24880,27600,2720
trial_000265,block_000009,bye,s8,processed/trials/trial_000265.npy,30760,32000,1240
trial_000266,block_000009,bye,s8,processed/trials/trial_000266.npy,36800,39480,2680
trial_000267,block_000009,bye,s8,processed/trials/trial_000267.npy,42880,50000,7120
trial_000268,block_000009,bye,s8,processed/trials/trial_000268.npy,54760,57280,2520
trial_000269,block_000009,bye,s8,processed/trials/trial_000269.npy,60800,63120,2320
trial_000270,block_000009,bye,s8,processed/trials/trial_000270.npy,66720,70200,3480
trial_000271,block_000009,bye,s8,processed/trials/trial_000271.npy,72520,75320,2800
trial_000272,block_000009,bye,s8,processed/trials/trial_000272.npy,78600,81120,2520
trial_000273,block_000009,bye,s8,processed/trials/trial_000273.npy,83280,87880,4600
trial_000274,block_000009,bye,s8,processed/trials/trial_000274.npy,90520,93120,2600
trial_000275,block_000009,bye,s8,processed/trials/trial_000275.npy,96600,99800,3200
trial_000276,block_000009,bye,s8,processed/trials/trial_000276.npy,102440,105520,3080
trial_000277,block_000009,bye,s8,processed/trials/trial_000277.npy,108520,111960,3440
trial_000278,block_000009,bye,s8,processed/trials/trial_000278.npy,113960,117080,3120
trial_000279,block_000009,bye,s8,processed/trials/trial_000279.npy,120520,123720,3200
trial_000280,block_000009,bye,s8,processed/trials/trial_000280.npy,126000,129000,3000
trial_000281,block_000009,bye,s8,processed/trials/trial_000281.npy,131920,136560,4640
trial_000282,block_000009,bye,s8,processed/trials/trial_000282.npy,138640,141080,2440
trial_000283,block_000009,bye,s8,processed/trials/trial_000283.npy,144440,147080,2640
trial_000284,block_000009,bye,s8,processed/trials/trial_000284.npy,149480,153240,3760
trial_000285,block_000009,bye,s8,processed/trials/trial_000285.npy,156080,159360,3280
trial_000286,block_000009,bye,s8,processed/trials/trial_000286.npy,162320,165200,2880
trial_000287,block_000009,bye,s8,processed/trials/trial_000287.npy,168520,170840,2320
trial_000288,block_000009,bye,s8,processed/trials/trial_000288.npy,174320,176720,2400
trial_000289,block_000009,bye,s8,processed/trials/trial_000289.npy,180200,183120,2920
trial_000290,block_000009,bye,s8,processed/trials/trial_000290.npy,185960,188960,3000
trial_000291,block_000009,bye,s8,processed/trials/trial_000291.npy,191040,195200,4160
trial_000292,block_000009,bye,s8,processed/trials/trial_000292.npy,198600,207200,8600
trial_000293,block_000009,bye,s8,processed/trials/trial_000293.npy,210720,212920,2200
trial_000294,block_000009,bye,s8,processed/trials/trial_000294.npy,216600,219680,3080
trial_000295,block_000009,bye,s8,processed/trials/trial_000295.npy,222880,225360,2480
trial_000296,block_000009,bye,s8,processed/trials/trial_000296.npy,228720,231440,2720
trial_000297,block_000009,bye,s8,processed/trials/trial_000297.npy,234440,237320,2880
trial_000298,block_000009,bye,s8,processed/trials/trial_000298.npy,240680,243680,3000
trial_000299,block_000009,bye,s8,processed/trials/trial_000299.npy,247040,249920,2880
trial_000300,block_000009,bye,s8,processed/trials/trial_000300.npy,252680,256560,3880
trial_000301,block_000009,bye,s8,processed/trials/trial_000301.npy,258880,261840,2960
trial_000302,block_000009,bye,s8,processed/trials/trial_000302.npy,264760,267400,2640
trial_000303,block_000009,bye,s8,processed/trials/trial_000303.npy,270600,273240,2640
trial_000304,block_000009,bye,s8,processed/trials/trial_000304.npy,276920,279680,2760
trial_000305,block_000009,bye,s8,processed/trials/trial_000305.npy,281760,285560,3800
trial_000306,block_000009,bye,s8,processed/trials/trial_000306.npy,288560,291600,3040
trial_000307,block_000009,bye,s8,processed/trials/trial_000307.npy,294640,297800,3160
trial_000308,block_000009,bye,s8,processed/trials/trial_000308.npy,300840,303760,2920
trial_000309,block_000010,bye,s9,processed/trials/trial_000309.npy,18280,21160,2880
trial_000310,block_000010,bye,s9,processed/trials/trial_000310.npy,24400,33040,8640
trial_000311,block_000010,bye,s9,processed/trials/trial_000311.npy,36040,45840,9800
trial_000312,block_000010,bye,s9,processed/trials/trial_000312.npy,48600,50800,2200
trial_000313,block_000010,bye,s9,processed/trials/trial_000313.npy,54640,56000,1360
trial_000314,block_000010,bye,s9,processed/trials/trial_000314.npy,60440,68680,8240
trial_000315,block_000010,bye,s9,processed/trials/trial_000315.npy,70680,81440,10760
trial_000316,block_000010,bye,s9,processed/trials/trial_000316.npy,84400,87920,3520
trial_000317,block_000010,bye,s9,processed/trials/trial_000317.npy,90280,99400,9120
trial_000318,block_000010,bye,s9,processed/trials/trial_000318.npy,103000,104920,1920
trial_000319,block_000010,bye,s9,processed/trials/trial_000319.npy,108760,112080,3320
trial_000320,block_000010,bye,s9,processed/trials/trial_000320.npy,114520,117680,3160
trial_000321,block_000010,bye,s9,processed/trials/trial_000321.npy,120800,123480,2680
trial_000322,block_000010,bye,s9,processed/trials/trial_000322.npy,126960,129840,2880
trial_000323,block_000010,bye,s9,processed/trials/trial_000323.npy,132920,134960,2040
trial_000324,block_000010,bye,s9,processed/trials/trial_000324.npy,137800,141240,3440
trial_000325,block_000010,bye,s9,processed/trials/trial_000325.npy,144720,148480,3760
trial_000326,block_000010,bye,s9,processed/trials/trial_000326.npy,152400,165000,12600
trial_000327,block_000010,bye,s9,processed/trials/trial_000327.npy,169040,171440,2400
trial_000328,block_000010,bye,s9,processed/trials/trial_000328.npy,174600,177320,2720
trial_000329,block_000010,bye,s9,processed/trials/trial_000329.npy,181320,182080,760
trial_000330,block_000010,bye,s9,processed/trials/trial_000330.npy,188400,190480,2080
trial_000331,block_000010,bye,s9,processed/trials/trial_000331.npy,192840,195360,2520
trial_000332,block_000010,bye,s9,processed/trials/trial_000332.npy,198480,207160,8680
trial_000333,block_000010,bye,s9,processed/trials/trial_000333.npy,210520,212960,2440
trial_000334,block_000010,bye,s9,processed/trials/trial_000334.npy,218800,224360,5560
trial_000335,block_000010,bye,s9,processed/trials/trial_000335.npy,228520,231240,2720
trial_000336,block_000010,bye,s9,processed/trials/trial_000336.npy,234920,237360,2440
trial_000337,block_000010,bye,s9,processed/trials/trial_000337.npy,240120,242800,2680
trial_000338,block_000010,bye,s9,processed/trials/trial_000338.npy,244960,248280,3320
trial_000339,block_000010,bye,s9,processed/trials/trial_000339.npy,251520,254920,3400
