recording_id,electrode,word,session_token,label_token,channel_id,path,sample_count,qc_status,is_suspicious_channel
pedot:no:s1,pedot,no,s1,CE,5,data/PEDOT5%GLYC2.5/raw/no_CE_s1_ch5.npy,742400,ok,False
pedot:no:s1,pedot,no,s1,CE,7,data/PEDOT5%GLYC2.5/raw/no_CE_s1_ch7.npy,742400,ok,False
pedot:no:s1,pedot,no,s1,CE,8,data/PEDOT5%GLYC2.5/raw/no_CE_s1_ch8.npy,742400,ok,False
pedot:pain:s1,pedot,pain,s1,CE,2,data/PEDOT5%GLYC2.5/raw/pain_CE_s1_ch2.npy,673600,ok,False
pedot:pain:s1,pedot,pain,s1,CE,3,data/PEDOT5%GLYC2.5/raw/pain_CE_s1_ch3.npy,673600,ok,False
pedot:pain:s1,pedot,pain,s1,CE,4,data/PEDOT5%GLYC2.5/raw/pain_CE_s1_ch4.npy,673600,ok,False
pedot:pain:s1,pedot,pain,s1,CE,5,data/PEDOT5%GLYC2.5/raw/pain_CE_s1_ch5.npy,673600,ok,False
pedot:pain:s1,pedot,pain,s1,CE,7,data/PEDOT5%GLYC2.5/raw/pain_CE_s1_ch7.npy,673600,ok,False
pedot:pain:s1,pedot,pain,s1,CE,8,data/PEDOT5%GLYC2.5/raw/pain_CE_s1_ch8.npy,673600,ok,False
pedot:wait:s1,pedot,wait,s1,CE,2,data/PEDOT5%GLYC2.5/raw/wait_CE_s1_ch2.npy,764000,ok,False
pedot:wait:s1,pedot,wait,s1,CE,3,data/PEDOT5%GLYC2.5/raw/wait_CE_s1_ch3.npy,764000,ok,False
pedot:wait:s1,pedot,wait,s1,CE,4,data/PEDOT5%GLYC2.5/raw/wait_CE_s1_ch4.npy,764000,ok,False
pedot:wait:s1,pedot,wait,s1,CE,5,data/PEDOT5%GLYC2.5/raw/wait_CE_s1_ch5.npy,764000,ok,False
pedot:wait:s1,pedot,wait,s1,CE,7,data/PEDOT5%GLYC2.5/raw/wait_CE_s1_ch7.npy,764000,ok,False
pedot:wait:s1,pedot,wait,s1,CE,8,data/PEDOT5%GLYC2.5/raw/wait_CE_s1_ch8.npy,764000,ok,False
pedot:yes:s1,pedot,yes,s1,CE,2,data/PEDOT5%GLYC2.5/raw/yes_CE_s1_ch2.npy,377400,ok,False
pedot:yes:s1,pedot,yes,s1,CE,3,data/PEDOT5%GLYC2.5/raw/yes_CE_s1_ch3.npy,377400,ok,False
pedot:yes:s1,pedot,yes,s1,CE,4,data/PEDOT5%GLYC2.5/raw/yes_CE_s1_ch4.npy,377400,ok,False
pedot:yes:s1,pedot,yes,s1,CE,5,data/PEDOT5%GLYC2.5/raw/yes_CE_s1_ch5.npy,377400,ok,False
pedot:yes:s1,pedot,yes,s1,CE,6,data/PEDOT5%GLYC2.5/raw/yes_CE_s1_ch6.npy,377400,ok,False
pedot:yes:s1,pedot,yes,s1,CE,7,data/PEDOT5%GLYC2.5/raw/yes_CE_s1_ch7.npy,377400,ok,False
pedot:yes:s1,pedot,yes,s1,CE,8,data/PEDOT5%GLYC2.5/raw/yes_CE_s1_ch8.npy,377400,ok,False
pedot:yes:s2,pedot,yes,s2,CE,2,data/PEDOT5%GLYC2.5/raw/yes_CE_s2_ch2.npy,381200,ok,False
pedot:yes:s2,pedot,yes,s2,CE,3,data/PEDOT5%GLYC2.5/raw/yes_CE_s2_ch3.npy,381200,ok,False
pedot:yes:s2,pedot,yes,s2,CE,4,data/PEDOT5%GLYC2.5/raw/yes_CE_s2_ch4.npy,381200,ok,False
pedot:yes:s2,pedot,yes,s2,CE,5,data/PEDOT5%GLYC2.5/raw/yes_CE_s2_ch5.npy,381200,ok,False
pedot:yes:s2,pedot,yes,s2,CE,6,data/PEDOT5%GLYC2.5/raw/yes_CE_s2_ch6.npy,381200,ok,False
pedot:yes:s2,pedot,yes,s2,CE,7,data/PEDOT5%GLYC2.5/raw/yes_CE_s2_ch7.npy,381200,ok,False
pedot:yes:s2,pedot,yes,s2,CE,8,data/PEDOT5%GLYC2.5/raw/yes_CE_s2_ch8.npy,381200,ok,False
pedot:yes:s3,pedot,yes,s3,CE,2,data/PEDOT5%GLYC2.5/raw/yes_CE_s3_ch2.npy,736200,ok,False
pedot:yes:s3,pedot,yes,s3,CE,3,data/PEDOT5%GLYC2.5/raw/yes_CE_s3_ch3.npy,736200,ok,False
pedot:yes:s3,pedot,yes,s3,CE,4,data/PEDOT5%GLYC2.5/raw/yes_CE_s3_ch4.npy,736200,ok,False
pedot:yes:s3,pedot,yes,s3,CE,5,data/PEDOT5%GLYC2.5/raw/yes_CE_s3_ch5.npy,736200,ok,False
pedot:yes:s3,pedot,yes,s3,CE,6,data/PEDOT5%GLYC2.5/raw/yes_CE_s3_ch6.npy,736200,ok,False
pedot:yes:s3,pedot,yes,s3,CE,7,data/PEDOT5%GLYC2.5/raw/yes_CE_s3_ch7.npy,736200,ok,False
pedot:yes:s3,pedot,yes,s3,CE,8,data/PEDOT5%GLYC2.5/raw/yes_CE_s3_ch8.npy,736200,ok,False
pedot:yes:s4,pedot,yes,s4,CE,2,data/PEDOT5%GLYC2.5/raw/yes_CE_s4_ch2.npy,748200,ok,False
pedot:yes:s4,pedot,yes,s4,CE,3,data/PEDOT5%GLYC2.5/raw/yes_CE_s4_ch3.npy,748200,ok,False
pedot:yes:s4,pedot,yes,s4,CE,4,data/PEDOT5%GLYC2.5/raw/yes_CE_s4_ch4.npy,748200,ok,False
pedot:yes:s4,pedot,yes,s4,CE,5,data/PEDOT5%GLYC2.5/raw/yes_CE_s4_ch5.npy,748200,ok,False
pedot:yes:s4,pedot,yes,s4,CE,6,data/PEDOT5%GLYC2.5/raw/yes_CE_s4_ch6.npy,748200,ok,False
pedot:yes:s4,pedot,yes,s4,CE,7,data/PEDOT5%GLYC2.5/raw/yes_CE_s4_ch7.npy,748200,ok,False
pedot:yes:s4,pedot,yes,s4,CE,8,data/PEDOT5%GLYC2.5/raw/yes_CE_s4_ch8.npy,748200,ok,False
pedot:yes:s5,pedot,yes,s5,CE,2,data/PEDOT5%GLYC2.5/raw/yes_CE_s5_ch2.npy,755000,ok,False
pedot:yes:s5,pedot,yes,s5,CE,28,data/PEDOT5%GLYC2.5/raw/yes_CE_s5_ch28.npy,755000,suspicious_channel,True
pedot:yes:s5,pedot,yes,s5,CE,3,data/PEDOT5%GLYC2.5/raw/yes_CE_s5_ch3.npy,755000,ok,False
pedot:yes:s5,pedot,yes,s5,CE,4,data/PEDOT5%GLYC2.5/raw/yes_CE_s5_ch4.npy,755000,ok,False
pedot:yes:s5,pedot,yes,s5,CE,5,data/PEDOT5%GLYC2.5/raw/yes_CE_s5_ch5.npy,755000,ok,False
pedot:yes:s5,pedot,yes,s5,CE,6,data/PEDOT5%GLYC2.5/raw/yes_CE_s5_ch6.npy,755000,ok,False
pedot:yes:s5,pedot,yes,s5,CE,7,data/PEDOT5%GLYC2.5/raw/yes_CE_s5_ch7.npy,755000,ok,False
pedot:yes:s6,pedot,yes,s6,CE,2,data/PEDOT5%GLYC2.5/raw/yes_CE_s6_ch2.npy,745000,ok,False
pedot:yes:s6,pedot,yes,s6,CE,3,data/PEDOT5%GLYC2.5/raw/yes_CE_s6_ch3.npy,745000,ok,False
pedot:yes:s6,pedot,yes,s6,CE,4,data/PEDOT5%GLYC2.5/raw/yes_CE_s6_ch4.npy,745000,ok,False
pedot:yes:s6,pedot,yes,s6,CE,5,data/PEDOT5%GLYC2.5/raw/yes_CE_s6_ch5.npy,745000,ok,False
pedot:yes:s6,pedot,yes,s6,CE,6,data/PEDOT5%GLYC2.5/raw/yes_CE_s6_ch6.npy,745000,ok,False
pedot:yes:s6,pedot,yes,s6,CE,7,data/PEDOT5%GLYC2.5/raw/yes_CE_s6_ch7.npy,745000,ok,False
pedot:yes:s6,pedot,yes,s6,CE,8,data/PEDOT5%GLYC2.5/raw/yes_CE_s6_ch8.npy,745000,ok,False
